BTC_ADDRESS,CONTRIBUTION_AMOUNT,BLOCK_HASH,POLKADOT_ADDRESS
1C1W8aTVUCzUw95sbf2kFsu1FQTRn78oZg,5000000,09aad599af4355caeedf0feb63a1d9434df6ab46717dd37a9b6e49500ccd20cb,1NwUpi8jD18qzqKCBUXv7xLnbRWyzf3jibLTLJJge3V5imQ
1HPnJnWHznsap2yRiDRt77fKqD7Cyb8kqd,16210000,67f4130d9c0bb67bd9f27f6a6f44b686fdec539fb941bc05ca2bee25d32a4b9e,15tbY9nhy3ZZpEPMRaTMaAALgnnhdhMxxaVGvuYYLAcxf6YK
1MoVDu9UKtzEva4KEzJX9nNFhzSirFRBjb,2850000,4573b6c8d1d5d68c440585397ba0a77cde8b07bf885e9a3203221abec40fb149,13JnMoaFNNuy8PNY1VT8RP623XhjcJStdY3v6usRfqhUW6i8
1MsiKvVbBNFEWqdqyxb23KJQiGMvZgSzm1,2000000,0b100a9c8f8f3f23e979ee563146a2582fab01b93b68d1e4927a1787c07fe359,12RE2rLMeKk5Vgdat1XkZKPnu4PpPDjzJ6vt33wU8NgkqRqa
1MwH5NdMi73utvkyZXPaF2j7Vid7qPQXdi,3791000,3070283b71ce2ccad385b2d3a60be7b217c01341639588afc5b6df11c3bbc892,146EYErEMugLSFRSQ761qSs1TkKLo6KF2WedKjL18YGvpVAY
1G65iScAr9r9ThLJT1ry3QfjUpxkLApHmQ,12000000,867126d23e0f7a8b54008829c4186a8a1fa0a5400d1aaf33774831f3b51772d7,12dtjShx8Sj3L6QBCsGyVK8HanWfpkcu4pb9tuMMYtVrNrzg
1H3n2WyUCfBqh4z7edwuLntikao8uD4Q97,1961292,6e04c1a323ea8eea157b4995a68678fbda902d695c31e03a22a27a8864219d94,13BtYPZxbGQoJwRkgvyvtSwVAVhDppJeK5jjHeTSt5MnHvK1
1EffqADEuszQTcKQA1DrHjnycLiKqq8Yuh,217980000,dc4d958eb3089ba0513266968f2bdd15a04789f8f1b777fd06620c079ca2d825,1bttzfw43uyRnwh9pkLseY62CL5ouBf2gZK5gTxxdv1wXNd
1Bs23wyH7x31WDsKouaQ4ZiPegwCTBEDJh,6000000,e6b99e720228bce3b4ab90655661ad274c3f7d067dddc4460c64409ed9548e73,15fhVzWAKe9qxrWXfg4hzzRW7CEw4cdhXQneFBpG7ucxdpi2
1GMvuH5GcoaegnHnem9GsWZiUfHkHBPhbb,33000000,6b14947d575a5b0d161bb8bc161eb947f21c7609235eee42bc79ef99f3c53906,145aesfUdinKdYfKnrBmRgFT3YXZzGaG4RnCbeuYudGra5J7
12KEzPfS7apUNRprVvKYyfBLg3yUfkoYFD,50000000,ba1dc22182462b339c4c9df5527c81cc55ed45237247675fa0f3493038994239,16SZqfkFcEBAo5UVXRKEHTimQ3FnvP3h3fWLRvtdaKboEW8C
1PiyUSe5psvDFR1FwhV7DQXkcFCP8kCuVb,8027187,7642d4892538ba7128d00bf8cee39794f006f0157f26f1f1067c98f0de24f645,12eZiLQKokqeheMN7RZjE6kS6zm7sTWvymWrzNHDfJwNS1kd
19UhyjVyzctabUus3tVBR6Fwvxzg1eKJHj,100000000,c9eaf07c0f8cfe6625afd6d3b37ab31eb2c662203dfc1d061d87a6b849b9889c,15DbxhApp8XCy2VeZcp6V2CDn4vi73stdAaqTtxPkp3nians
1CQsR7yZUWy8kLuu3NxgFpHmoAbqSAnoMs,1000000000,984542bc6a6a850704a9aafe0e52a98ed95111f5465287db877584a44c972451,15VXCJD3XSdn4npvCgVzk292awn16FF2ktYAH7WWXcyak4Ap
1DsYSKyE47eLz3P5sJqNiEZKEQs1quLbGP,10470000,4666b085948473ae849ab7d1d24ea1af2f5339fc50039677310fcbf1a82ce841,1j9tUKbxUaopAMQxe5e5wMLm4qZJQ6DeyCyDkRSHHLX5wM8
1BAr8vmrtZkogWD7hexDBhVKGnmvMVF5KG,172021016,3f28f596768ba0b67d15f9360db8f430b17b420bb474f0bbd89c530caba92b6b,12p71DvaqKs2TyFiwpqN5YwiPUBE4z5NYnJcQ6Ukhz4dLLSB
1KA4HhEFNEEortURev87CaMd6xFUNnKxEA,140000000,f17485b0448215a34aa768f7c879e13ef80cbea3b7bcf6d0e41bfcdf342e1c95,16m52m8KvEZLHXPj5bCGLHFsnDgQjMLD9oP2Vy9MyzjENGY4
1FntGZPcRobLunTN77PUr8SK1HDaAHNvyd,28087088,eea39e4fd8339058e01c3f1e4eeea2ffee7e22af4b1d25f5eb80c03f38e8fca5,15iWDHX61NscaShNSsHKtKtMJrDCasNaM51ufyjYb6Czq7Rk
1BdAsTRgDZ2wLpgdyYK4PfjUh6yTvBugP4,98000000,ba1610f39131c3e135683b2ba42b34c12042e9192b4e68c74d542d71d9c64ef0,15AeM6A3Vr7URH1JeB3mTismvAQwDBGRqntypox1FD2tgkB2
1FC3xHod53k1rZ6MgduU74Bm4XjLuNFNc7,23101383,5f63fa0b84845cf5668e4e44c32648de9938f761bba94e6fcf3303c1bca65b3c,15Xy2hSnWJQeWL4TenPf46VzYE7rCzEaGascxrou7DoBdFZj
1GLspegJG2TLSbXCZDSDWrKJSL3gonctZ9,2576000,0fd9bf15900a88db1403c9619b4acc135f9afe143df5b7fe728317c4b5147fc6,14E2XgmvhiHHjR5R2zzRoxuGyFGbwuJe2gGTGSijmaPUJEhK
14egMMqAx7EWYvgVDJwWetqNhm4SuxdP8j,11600000,6e008da29be1b649e003c8bf2f443417859f7069dec08cc8be52ada0a1624a6b,12WF12YydxuAQKEaQrjK5WnrUCPW9mpsBs9mCGukad6B8QPp
1EtY4NLiHg6bBqpzvSBUUpq6M6412pGDeJ,27000000,870405c83ef42fdc949cb68846ca75288dbabb806cfe397f4ee0589bfbe072ae,12EYCXJC44AfHaY9XY1zn6r6R2E1q9ue8D6nP6PerbhApj9v
1CYCQeJiAsQzaj8ok6NxnL2k6cA5QcxUQu,151674000,1398aa2ba201d87d26cb579ceef850c22a80516fd98338cf396939bfee2f962f,16fojvFJyNexaL6YxCXqmaA5fvQvhx4P4dthZLxEVBjQaVqn
1CZGgZgAKoXy1AZsBuccnsbwHra39JBFUE,630000000,ea2057e9516d7787ebee5cc02b58748b38412e5b6e631630191274b5a9370939,1EXjiAAz896dAVJwKqjsizTt6dqgu2gbCqKUkLkktd87Ktk
1LRvJTGtJkGRksmxJzYxKXakVwUCMgPCN5,3100000,cba99a5e373240897faf7ce312db0ca462be5a6dbbc6e47f674a600785db375f,14VdyfzAK7pyv4nNAwyzUwHYfiGpmgEkNAPD6MWFo8MqKQDR
